PP_rr,PP_wkt_rem,mid_rr,mid_wkt_rem,RR,Win,T2_rrr_1,T2_wkt_rem_1,T2_rrr_2,T2_wkt_rem_2,T2_rrr_3,T2_wkt_rem_3,T2_rrr_4,T2_wkt_rem_4,T2_rrr_5,T2_wkt_rem_5,T2_rrr_6,T2_wkt_rem_6,T2_rrr_7,T2_wkt_rem_7,T2_rrr_8,T2_wkt_rem_8,T2_rrr_9,T2_wkt_rem_9,T2_rrr_10,T2_wkt_rem_10,T2_rrr_11,T2_wkt_rem_11,T2_rrr_12,T2_wkt_rem_12,T2_rrr_13,T2_wkt_rem_13,T2_rrr_14,T2_wkt_rem_14,T2_rrr_15,T2_wkt_rem_15,T2_rrr_16,T2_wkt_rem_16,T2_rrr_17,T2_wkt_rem_17,T2_rrr_18,T2_wkt_rem_18,T2_rrr_19,T2_wkt_rem_19
4.333333333333333,8.0,5.933333333333334,4.0,6.8,1.0,6.684210526315789,10.0,6.333333333333333,10.0,6.0588235294117645,9.0,6.0,9.0,5.866666666666666,8.0,5.714285714285714,7.0,5.923076923076923,7.0,6.166666666666667,6.0,6.454545454545454,6.0,6.9,5.0,7.222222222222222,5.0,7.5,5.0,7.857142857142857,4.0,7.166666666666667,4.0,6.6,4.0,5.5,4.0,4.333333333333333,3.0,6.0,1.0,9.0,0.0
4.666666666666667,6.0,4.666666666666667,6.0,5.9,0.0,6.2631578947368425,9.0,6.5,8.0,6.529411764705882,8.0,6.3125,8.0,6.133333333333334,8.0,5.571428571428571,8.0,5.923076923076923,8.0,6.083333333333333,8.0,6.454545454545454,7.0,6.8,7.0,6.444444444444445,7.0,7.0,7.0,7.571428571428571,7.0,7.833333333333333,7.0,7.0,7.0,4.0,7.0,3.6666666666666665,7.0,2.0,7.0,0.0,7.0
8.0,10.0,6.8,7.0,7.8347107438016526,0.0,7.2631578947368425,10.0,6.833333333333333,10.0,6.9411764705882355,9.0,7.25,8.0,7.533333333333333,8.0,7.785714285714286,8.0,7.538461538461538,8.0,7.583333333333333,8.0,7.363636363636363,8.0,7.3,8.0,7.0,8.0,6.75,8.0,6.857142857142857,8.0,7.5,8.0,8.0,7.0,7.75,6.0,3.3333333333333335,6.0,2.0,6.0,0.0,6.0
6.166666666666667,8.0,7.0,6.0,7.95,0.0,8.105263157894736,10.0,8.166666666666666,10.0,8.058823529411764,8.0,8.125,8.0,8.533333333333333,7.0,8.642857142857142,7.0,8.538461538461538,7.0,8.75,7.0,7.818181818181818,7.0,8.1,7.0,8.0,7.0,7.875,7.0,8.142857142857142,7.0,8.166666666666666,7.0,8.4,7.0,7.75,7.0,6.0,7.0,5.0,7.0,4.0,7.0
7.833333333333333,6.0,3.933333333333333,0.0,2.95,0.0,3.0,10.0,3.111111111111111,9.0,3.235294117647059,8.0,3.25,8.0,3.4,8.0,2.857142857142857,8.0,2.769230769230769,8.0,2.8333333333333335,7.0,2.4545454545454546,7.0,2.4,7.0,1.4444444444444444,6.0,1.5,4.0,1.2857142857142858,4.0,1.3333333333333333,3.0,1.4,3.0,1.25,3.0,0.0,3.0,0.0,3.0,0.0,3.0
7.333333333333333,8.0,6.8,6.0,7.4,0.0,7.631578947368421,10.0,7.5,10.0,7.823529411764706,10.0,8.0625,10.0,7.666666666666667,10.0,7.785714285714286,9.0,8.076923076923077,9.0,8.0,8.0,8.272727272727273,8.0,8.2,8.0,8.555555555555555,7.0,9.5,7.0,9.428571428571429,7.0,9.166666666666666,7.0,7.8,7.0,9.0,7.0,9.666666666666666,7.0,6.5,6.0,4.0,5.0
10.333333333333334,8.0,9.333333333333334,6.0,8.95,1.0,9.31578947368421,10.0,9.333333333333334,9.0,9.470588235294118,9.0,9.9375,8.0,10.133333333333333,8.0,9.642857142857142,8.0,9.923076923076923,8.0,10.5,8.0,10.909090909090908,8.0,10.8,8.0,10.666666666666666,8.0,10.0,8.0,9.571428571428571,8.0,10.166666666666666,8.0,11.2,7.0,12.0,6.0,13.666666666666666,5.0,16.5,5.0,18.0,3.0
12.5,10.0,9.0,7.0,10.0,0.0,10.210526315789474,10.0,10.555555555555555,10.0,10.647058823529411,9.0,11.1875,9.0,11.066666666666666,8.0,10.714285714285714,8.0,11.23076923076923,8.0,11.25,8.0,11.0,8.0,11.7,7.0,12.444444444444445,6.0,13.375,6.0,14.142857142857142,6.0,13.666666666666666,6.0,15.4,6.0,15.5,6.0,13.666666666666666,6.0,7.5,6.0,0.0,5.0
6.333333333333333,8.0,5.866666666666666,4.0,6.8,0.0,7.105263157894737,10.0,6.888888888888889,9.0,7.176470588235294,8.0,7.4375,8.0,7.733333333333333,8.0,8.142857142857142,8.0,8.076923076923077,8.0,8.0,8.0,8.363636363636363,7.0,8.9,7.0,8.333333333333334,7.0,8.25,7.0,9.0,6.0,9.666666666666666,6.0,9.8,6.0,9.5,6.0,6.666666666666667,6.0,8.0,6.0,6.0,6.0
7.833333333333333,10.0,7.266666666666667,7.0,8.7,1.0,9.052631578947368,10.0,9.11111111111111,10.0,8.705882352941176,10.0,8.875,8.0,9.066666666666666,7.0,9.714285714285714,7.0,10.307692307692308,7.0,10.666666666666666,6.0,10.727272727272727,6.0,11.4,5.0,11.777777777777779,5.0,13.125,4.0,12.714285714285714,4.0,13.166666666666666,4.0,14.2,4.0,15.75,4.0,16.666666666666668,4.0,17.5,3.0,18.0,2.0
